date,pink,emerald,orange,purple,yellow,blue
2019-03-20,17,17,19,16,17,17
2019-03-21,16,17,18,16,16,16
2019-03-22,16,16,18,16,16,16
2019-03-23,15,16,18,15,16,18
2019-03-24,17,16,19,15,16,19
2019-03-25,18,17,22,16,16,22
2019-03-26,18,18,23,18,18,22
2019-03-27,20,19,24,20,18,25
2019-03-28,21,20,25,21,20,25
2019-03-29,23,21,28,23,21,28
2019-03-30,23,22,30,24,22,29
2019-03-31,25,23,33,27,24,30
2019-04-01,27,24,34,29,26,31
2019-04-02,29,25,36,29,28,34
2019-04-03,31,26,37,30,30,35
2019-04-04,31,28,41,32,33,37
2019-04-05,32,29,42,32,34,40
